category,name_en,name_bn,address,google_maps_link,hours,google_rating,google_rating_count,phone,common_sentiment_paraphrased_reference_only,verified
পরিবহন ও লাইসেন্স / Transport & License,"BRTA, Dhaka Metro Circle-1 (Mirpur)","বিআরটিএ, ঢাকা মেট্রো সার্কেল-১ (মিরপুর)","Metro DHA, Dhaka 1216, Bangladesh",https://www.google.com/maps/search/?api=1&query=BRTA%2C%20Dhaka%20Metro%20Circle-1%20%28Mirpur%29%20Metro%20DHA%2C%20Dhaka%201216%2C%20Bangladesh&query_place_id=ChIJpzuFstTAVTcRRHKnhwCMpeg,"Sun-Thu 9:00 AM-3:30 PM, Fri-Sat Closed",3.7,5316,+880 1790-540210,"Visitors say the process has become more organized than before and is doable without a middleman if you bring complete documents, though brokers still linger and waits can be long.",TRUE
পরিবহন ও লাইসেন্স / Transport & License,BRTA Headquarters (Banani),বিআরটিএ প্রধান কার্যালয় (বনানী),"BRTA Bhaban, Chairmanbari, Dhaka 1212, Bangladesh",https://www.google.com/maps/search/?api=1&query=BRTA%20Headquarters%20%28Banani%29%20BRTA%20Bhaban%2C%20Chairmanbari%2C%20Dhaka%201212%2C%20Bangladesh&query_place_id=ChIJcfRZ6F7HVTcR510mjZAzyZ4,"Sun-Thu 9:00 AM-5:00 PM, Fri-Sat Closed",4.1,815,+880 9610-990998,"Generally positive reviews describing helpful, professional staff and a well-kept building, though seating space is limited on some floors.",TRUE
পরিবহন ও লাইসেন্স / Transport & License,"BRTA, Dhaka Metro-3 (Uttara)","বিআরটিএ, ঢাকা মেট্রো-৩ (উত্তরা)","Sonargaon Janapath Rd, Dhaka 1230, Bangladesh",https://www.google.com/maps/search/?api=1&query=BRTA%2C%20Dhaka%20Metro-3%20%28Uttara%29%20Sonargaon%20Janapath%20Rd%2C%20Dhaka%201230%2C%20Bangladesh&query_place_id=ChIJhS3xm_bDVTcRIr0T75Dq9uQ,"Sun-Thu 9:00 AM-5:00 PM, Fri-Sat Closed",3.7,1896,+880 1705-151188,"Mixed reviews: several mention brokers and slow service, but multiple recent visitors say things have improved and self-service without middlemen is possible with preparation.",TRUE
পরিবহন ও লাইসেন্স / Transport & License,"BRTA, Dhaka Metro-2 (Ekuria)","বিআরটিএ, ঢাকা মেট্রো-২ (একুরিয়া)","Hasnabad, Dhaka, Bangladesh",https://www.google.com/maps/search/?api=1&query=BRTA%2C%20Dhaka%20Metro-2%20%28Ekuria%29%20Hasnabad%2C%20Dhaka%2C%20Bangladesh&query_place_id=ChIJB03lvpC5VTcRe2_YXI1oGXw,"Sun-Thu 9:00 AM-5:00 PM, Fri-Sat Closed",3.8,389,+880 1550-051626,"Visitors describe a large, clean, well-organized campus with helpful staff; fitness certification is reported as notably fast.",TRUE
পরিবহন ও লাইসেন্স / Transport & License,BRTA Segunbagicha,বিআরটিএ সেগুনবাগিচা,"PCP5+55C, Dhaka 1205, Bangladesh",https://www.google.com/maps/search/?api=1&query=BRTA%20Segunbagicha%20PCP5%2B55C%2C%20Dhaka%201205%2C%20Bangladesh&query_place_id=ChIJpY6nw1q5VTcR84qIFtyBQ5w,"Sun-Thu 9:00 AM-5:00 PM, Fri-Sat Closed",3.8,6,,Few reviews; visitors note it's hard to find and recommend booking an appointment ahead of a visit.,TRUE
পুলিশ ও আইনশৃঙ্খলা / Police & Law Enforcement,Bangladesh Police Headquarters,বাংলাদেশ পুলিশ সদর দপ্তর,"6 Phoenix Rd, Dhaka 1000, Bangladesh",https://www.google.com/maps/search/?api=1&query=Bangladesh%20Police%20Headquarters%206%20Phoenix%20Rd%2C%20Dhaka%201000%2C%20Bangladesh&query_place_id=ChIJC4t9zPu4VTcRZ3-onOlpjNM,Open 24 hours,,,+880 1886-101009,No Google ratings on file for this location yet.,TRUE
পুলিশ ও আইনশৃঙ্খলা / Police & Law Enforcement,"Kotwali Police Station, DMP","কোতোয়ালি থানা, ডিএমপি","2no Simson Rd, Dhaka 1100, Bangladesh",https://www.google.com/maps/search/?api=1&query=Kotwali%20Police%20Station%2C%20DMP%202no%20Simson%20Rd%2C%20Dhaka%201100%2C%20Bangladesh&query_place_id=ChIJ205S6ga5VTcRTfEskbJRIq0,Open 24 hours,,,+880 2-7116255,No Google ratings on file for this location yet.,TRUE
পুলিশ ও আইনশৃঙ্খলা / Police & Law Enforcement,Pallabi Police Station,পল্লবী থানা,"Shagufta New Rd, Dhaka 1216, Bangladesh",https://www.google.com/maps/search/?api=1&query=Pallabi%20Police%20Station%20Shagufta%20New%20Rd%2C%20Dhaka%201216%2C%20Bangladesh&query_place_id=ChIJkzppjTDBVTcRmkeQj1VBmF8,Open 24 hours,,,+880 1320-041090,No Google ratings on file for this location yet.,TRUE
পুলিশ ও আইনশৃঙ্খলা / Police & Law Enforcement,Gulshan Police Station,গুলশান থানা,"59, North Gulshan Ave, Dhaka 1212, Bangladesh",https://www.google.com/maps/search/?api=1&query=Gulshan%20Police%20Station%2059%2C%20North%20Gulshan%20Ave%2C%20Dhaka%201212%2C%20Bangladesh&query_place_id=ChIJF-zuD6fHVTcRW5BqQbVA0Yo,Open 24 hours,,,+880 2-9895826,No Google ratings on file for this location yet.,TRUE
পুলিশ ও আইনশৃঙ্খলা / Police & Law Enforcement,Uttara West Police Station,উত্তরা পশ্চিম থানা,"House 88, Road 18, Dhaka 1230, Bangladesh",https://www.google.com/maps/search/?api=1&query=Uttara%20West%20Police%20Station%20House%2088%2C%20Road%2018%2C%20Dhaka%201230%2C%20Bangladesh&query_place_id=ChIJjc17YhHEVTcRkvBKYrQareI,Open 24 hours,,,+880 1320-041824,No Google ratings on file for this location yet.,TRUE
